id,lat,long
2426,30.162464,-97.78959
7001,30.458967,-97.753708
1112,30.422055,-98.127277
933,30.65866,-97.776031
7298,30.269783,-97.75348
2344,30.20827,-97.861604
3961,30.37493,-97.729481
760,30.133525,-98.106678
2348,30.243252,-97.883117
4438,30.355683,-97.684078
6362,30.026858,-98.101147
6741,30.609498,-97.710042
1236,29.987074,-98.049768
4417,30.35443,-97.703913
3765,30.295841,-97.743612
5275,30.618451,-97.696667
6115,30.506985,-97.794274
1295,30.246378,-98.043262
4532,30.362644,-97.629357
868,30.876242,-97.77401
5715,30.636384,-97.469742
1744,30.061135,-97.780788
7313,30.036818,-97.709844
2707,30.112132,-97.694721
4593,30.567858,-97.776853
4792,30.573004,-97.882665
1426,29.841741,-97.912779
5688,30.42537,-97.501759
1376,30.200172,-98.194485
7266,30.336108,-97.970426
2310,30.213555,-97.794039
742,30.139214,-98.214295
7332,30.315166,-98.093687
5038,30.440216,-97.697764
7280,30.072859,-97.727455
520,30.179088,-97.714023
1101,30.0113,-97.687029
7181,30.433644,-97.347097
850,30.629693,-97.936611
6838,30.538146,-97.57641
2456,30.198363,-97.790864
5536,30.733059,-97.611137
5292,30.609324,-97.661699
5478,30.714604,-97.645662
1014,30.612544,-97.569962
1398,30.213293,-98.084826
5096,30.458307,-97.696078
1300,30.157746,-98.131657
2783,30.277162,-97.73278
5574,30.684075,-97.545482
116,30.550837,-97.664092
2617,30.316056,-97.872294
5295,30.594977,-97.763822
876,30.852528,-97.680214
781,29.786936,-97.976479
1425,30.393322,-98.067956
4773,30.52827,-97.803678
1003,30.477489,-97.481873
1328,30.099451,-98.18839
1497,29.82378,-97.990143
1220,30.615287,-97.542575
6698,30.414325,-97.519409
612,30.172582,-97.602786
5446,30.58093,-97.612277
4537,30.305063,-97.563979
5682,30.474647,-97.403883
7076,30.64393,-97.856209
2336,30.188385,-97.89214
3025,30.275468,-97.747072
5795,30.632659,-97.33326
6694,30.439292,-97.570088
627,30.389228,-97.501275
6644,30.329771,-97.547187
715,29.896727,-97.936225
2999,30.246417,-97.768935
747,30.22956,-98.135289
2771,30.278209,-97.768537
1697,29.963481,-97.777722
5435,30.643892,-97.600963
5945,30.546267,-97.64096
522,30.128184,-97.613068
5847,30.479534,-97.180841
7343,29.862152,-98.014392
6835,30.566984,-97.581921
5624,30.669976,-97.44985
4446,30.385886,-97.695512
1197,30.715859,-97.509234
4858,30.546142,-97.69453
1136,30.231017,-97.516594
5573,30.708926,-97.571769
2825,30.377272,-97.658636
1193,30.637256,-97.519283
2920,30.159699,-97.759613
676,29.967048,-97.95913
4652,30.473235,-97.846112
7363,30.382586,-97.850854
3562,30.330352,-97.715566
1025,30.791238,-97.642916
1470,29.804461,-97.982193
2886,30.253619,-97.711994
1106,29.994705,-98.236289
963,30.605618,-97.407175
6338,30.335409,-97.602213
7230,30.714988,-97.846004
4548,30.510388,-98.038942
3379,30.269488,-97.71867
7358,30.634316,-97.727502
4898,30.518637,-97.649818
6181,30.27583,-97.818425
2682,30.359284,-97.79047
7118,30.812231,-97.634678
213,30.393237,-97.800872
7067,30.654362,-98.016372
4579,30.660277,-97.947207
2496,30.231272,-97.827504
4483,30.222104,-97.632903
1784,30.152491,-97.670395
155,30.465101,-97.734708
3115,30.234048,-97.757043
3125,30.261799,-97.761214
6684,30.389098,-97.987451
1545,29.846832,-97.964546
6376,30.545637,-97.865456
6492,30.377096,-97.442616
5080,30.420687,-97.704598
7457,30.461758,-97.439574
6000,30.314471,-97.63529
7182,30.445164,-97.319315
4497,30.346027,-97.613586
4585,30.733725,-97.794622
2124,30.114723,-97.874813
7184,30.425578,-97.381898
5807,30.567339,-97.348889
1560,29.881201,-97.962979
248,30.355442,-97.7182
1210,30.418875,-97.427254
6704,30.333671,-97.510482
2652,30.304314,-97.840649
4530,30.378277,-97.635707
2237,30.179153,-97.965435
1049,30.740886,-97.717294
1828,30.014363,-97.812917
7312,30.252924,-97.531984
7143,30.712262,-97.473808
1316,29.999239,-98.101129
5813,30.55764,-97.30442
939,30.717388,-97.745749
1531,29.845758,-97.940197
6886,30.252891,-97.602547
804,30.067731,-97.825872
3431,30.232548,-97.698222
657,30.519091,-97.37656
1036,30.699874,-97.356277
6300,30.285615,-97.665361
4462,30.395723,-97.672955
970,30.75436,-97.408646
5007,30.512404,-97.75711
1811,29.918339,-97.90818
5983,30.404393,-97.607354
1111,30.320581,-98.18806
883,30.631001,-97.410462
2241,30.196532,-97.997346
6499,30.132632,-97.753456
2116,30.02232,-97.853646
987,30.565058,-97.259618
1689,29.869256,-97.89591
980,30.515092,-97.408642
5511,30.702941,-97.69005
2376,30.23514,-97.854813
5613,30.313634,-97.483197
735,29.886781,-97.991968
557,30.45357,-97.57921
606,30.145238,-97.583182
1778,30.247075,-97.784821
4452,30.400311,-97.707452
882,30.656402,-97.262914
1743,30.044544,-97.794242
755,30.1139,-98.246902
2628,30.298207,-97.802389
7173,30.576649,-97.230771
495,30.199342,-97.739267
3984,30.353015,-97.758006
7105,30.530137,-97.784205
3956,30.377127,-97.738548
5644,30.532268,-97.423996
945,30.820892,-97.877474
4601,30.659603,-97.538345
7360,30.638409,-97.56754
2451,30.180322,-97.790013
3037,30.246302,-97.735297
2283,30.32185,-97.955313
4604,30.673487,-97.701638
5658,30.586548,-97.380104
1803,30.144604,-97.808804
193,30.419626,-97.687169
317,30.318928,-97.741563
4990,30.427203,-97.756272
5824,30.771277,-97.435181
4788,30.643704,-97.871143
4813,30.803422,-97.850393
2608,30.33747,-97.864691
5722,30.572654,-97.420423
7366,29.80524,-98.011374
5572,30.69885,-97.549337
2329,30.199346,-97.867275
