,lat,long,async_cluster,async_congest_cluster
597,30.058818,-97.723985,1922,1582
598,30.438973,-97.543138,1526,1903
599,30.428163,-97.513846,778,1606
600,30.144669,-97.747936,1358,663
601,30.132946,-97.82476,264,931
602,30.145593,-97.817215,1338,931
603,30.199903,-97.523203,1723,546
604,30.114833,-97.680519,1980,1427
605,30.131976,-97.668147,1980,1347
606,30.145238,-97.583182,1026,127
607,30.467008,-97.489938,1798,1810
608,30.152791,-97.651583,71,1581
609,30.165474,-97.640056,150,1598
610,30.237554,-97.674932,1782,1143
611,30.183483,-97.637009,1753,963
612,30.172582,-97.602786,983,1536
613,30.442805,-97.462556,1086,1810
614,30.230896,-97.570828,704,681
615,30.254773,-97.510731,1975,1826
616,30.274879,-97.472702,421,1701
617,30.297379,-97.511156,749,714
618,30.327288,-97.527973,1699,1940
619,30.311798,-97.470836,485,1701
620,30.345114,-97.524893,687,1350
621,30.332948,-97.468369,536,849
622,30.35486,-97.554176,1048,1198
623,30.400775,-97.566228,1957,710
624,30.39936,-97.440864,654,511
625,30.367707,-97.520502,797,901
626,30.362081,-97.455986,1343,598
627,30.389228,-97.501275,1197,524
628,30.408462,-97.527893,88,1450
629,30.419177,-97.556499,1876,1101
630,30.417448,-97.486022,972,1229
631,30.51116,-97.432012,1306,789
632,30.758933,-97.61981,1709,1461
633,30.787235,-97.461624,1812,948
634,30.762333,-97.570963,459,1730
635,30.714855,-97.635692,1514,900
636,30.721902,-97.655039,175,1592
637,30.721962,-97.43449,824,161
638,30.7155,-97.453439,316,356
639,30.659308,-97.591075,1788,1962
640,30.645536,-97.648227,1329,843
641,30.688991,-97.697896,1529,330
642,30.70538,-97.717715,1882,479
643,30.688418,-97.290934,573,1367
644,30.708185,-97.434506,824,553
645,30.707375,-97.44851,806,356
646,30.617408,-97.492335,1929,1637
647,30.63058,-97.608464,651,275
648,30.670268,-97.365601,989,1431
649,30.614327,-97.438935,783,664
650,30.556867,-97.534104,1851,1446
651,30.549309,-97.552697,844,741
652,30.585801,-97.403788,1717,1991
653,30.593637,-97.422708,1011,201
654,30.589385,-97.4345,1011,201
655,30.417908,-97.324987,1698,1435
656,30.454708,-97.409402,1439,156
657,30.519091,-97.37656,1449,1844
658,30.548378,-97.339944,11,1533
659,30.543711,-97.426921,1306,1300
660,30.564158,-97.412627,1261,133
661,30.544213,-97.502359,607,1006
662,30.518844,-97.603226,308,21
663,30.553467,-97.632417,825,11
664,30.37016,-97.793486,737,300
665,30.52616,-97.553431,284,204
666,29.896453,-98.064179,1959,942
667,29.955213,-98.126496,807,437
668,29.956289,-98.065857,517,459
669,29.950139,-98.009999,32,1632
670,29.868981,-97.990969,1063,52
671,29.857558,-98.012298,1063,1234
672,29.832913,-98.018237,292,30
673,29.979552,-98.108467,156,1604
674,29.997999,-98.058955,1226,1907
675,30.019846,-98.0279,571,1907
676,29.967048,-97.95913,1778,1168
677,29.952026,-97.983606,1478,1168
678,29.979371,-98.082087,156,349
679,30.030066,-98.080249,865,182
680,29.918913,-97.948067,631,1168
681,30.043596,-98.053382,571,1285
682,29.877956,-97.952311,868,692
683,29.87017,-97.962849,623,1154
684,29.878492,-97.965586,1796,47
685,30.177624,-98.067552,168,1786
686,30.183656,-98.035565,1163,831
687,30.204068,-98.063961,168,643
688,30.132727,-98.066773,1646,1346
689,30.142357,-98.017092,453,1875
690,30.123464,-98.013422,1720,1011
691,30.103535,-97.972025,1704,1369
692,30.156158,-97.922656,238,525
693,30.083197,-98.064494,300,1797
694,30.046219,-97.956417,614,1788
695,30.249732,-98.090132,715,1583
696,30.221504,-98.001452,1100,124
697,30.232619,-98.041958,1245,1996
698,30.256626,-98.041382,700,1996
699,30.188322,-97.952201,104,1567
700,29.890125,-97.944039,934,1558
701,29.889557,-97.938971,36,408
702,29.887069,-97.939213,287,909
703,29.887943,-97.936567,1361,177
704,29.881756,-97.942358,1954,712
705,29.88051,-97.945474,214,1425
706,29.87795,-97.943205,1064,183
707,29.875888,-97.949028,135,953
708,29.882519,-97.927999,382,877
709,29.881815,-97.932862,1733,1589
710,29.887993,-97.932527,709,897
711,29.886075,-97.93607,1361,177
712,29.893192,-97.93209,1815,152
713,29.888441,-97.926399,1035,559
714,29.893447,-97.938495,1564,1944
715,29.896727,-97.936225,1564,351
716,29.886506,-97.942882,590,1799
717,29.887606,-97.948487,398,1493
718,29.884797,-97.945336,1811,439
719,29.884042,-97.942473,1423,1706
720,29.881787,-97.947927,334,346
721,29.884353,-97.901427,1914,554
722,29.873067,-97.90967,438,18
723,29.883636,-97.91573,585,175
724,29.892753,-97.908106,585,965
725,29.864351,-97.902071,1621,1969
726,29.867046,-97.923945,438,1754
727,29.880741,-97.917204,1507,293
728,29.875409,-97.92325,79,329
729,30.207493,-98.032242,1591,606
730,29.889728,-97.918411,1468,414
731,29.898736,-97.913953,688,473
732,30.06917,-98.022446,1707,1285
733,30.079967,-97.990787,1720,1375
734,30.055404,-97.91209,1885,989
735,29.886781,-97.991968,349,622
736,29.908987,-97.972402,395,590
737,29.889408,-97.970463,1883,1869
738,29.863587,-97.978738,720,1517
739,29.897388,-97.954655,1883,1869
740,29.85407,-97.978959,664,480
741,29.842171,-97.996419,914,1411
742,30.139214,-98.214295,1170,1111
743,30.190007,-98.168253,1384,258
744,30.174555,-98.153721,1170,1270
745,30.1517,-98.154464,466,912
746,30.212417,-98.172451,1228,1221
747,30.22956,-98.135289,162,771
748,30.220277,-98.100548,430,443
749,30.158316,-98.110565,1170,975
750,30.0445,-98.141486,374,1042
751,30.072636,-98.204517,1434,1510
752,30.115504,-98.192023,466,292
753,30.019708,-98.232533,872,1510
754,29.995598,-98.167437,807,1544
755,30.1139,-98.246902,1203,39
