head,tail,origin_addr,dest_addr,distance,duration,traffic_duration,speed_mph,
1578,720,"225 Scott St, San Marcos, TX 78666, USA","545 W Hutchison St, San Marcos, TX 78666, USA",169,24,21,18.20590909,0.875
720,1578,"545 W Hutchison St, San Marcos, TX 78666, USA","225 Scott St, San Marcos, TX 78666, USA",169,23,21,18.20590909,0.913043478
1529,718,"219 N Comanche St, San Marcos, TX 78666, USA","350 North St, San Marcos, TX 78666, USA",256,106,102,5.890485437,0.962264151
718,1529,"350 North St, San Marcos, TX 78666, USA","219 N Comanche St, San Marcos, TX 78666, USA",256,66,65,9.192727273,0.984848485
1582,718,"500 W Hutchison St, San Marcos, TX 78666, USA","350 North St, San Marcos, TX 78666, USA",496,119,114,10.22191304,0.957983193
718,1582,"350 North St, San Marcos, TX 78666, USA","500 W Hutchison St, San Marcos, TX 78666, USA",496,96,93,12.50553191,0.96875
1601,708,"921 IH 35 S, San Marcos, TX 78666, USA","1025 Field St, San Marcos, TX 78666, USA",424,64,64,15.45969231,1
708,1601,"1025 Field St, San Marcos, TX 78666, USA","921 IH 35 S, San Marcos, TX 78666, USA",424,74,74,13.3984,1
1629,903,"404 S CM Allen Pkwy, San Marcos, TX 78666, USA","617 McKie St, San Marcos, TX 78666, USA",563,98,96,13.7557732,0.979591837
903,1629,"617 McKie St, San Marcos, TX 78666, USA","404 S CM Allen Pkwy, San Marcos, TX 78666, USA",595,106,104,13.43,0.981132075
1630,903,"618 S CM Allen Pkwy, San Marcos, TX 78666, USA","617 McKie St, San Marcos, TX 78666, USA",269,78,77,8.173461538,0.987179487
903,1630,"617 McKie St, San Marcos, TX 78666, USA","618 S CM Allen Pkwy, San Marcos, TX 78666, USA",269,78,78,8.07,1
1648,903,"609 S L B J Dr, San Marcos, TX 78666, USA","617 McKie St, San Marcos, TX 78666, USA",277,77,77,8.416538462,1
903,1648,"617 McKie St, San Marcos, TX 78666, USA","609 S L B J Dr, San Marcos, TX 78666, USA",277,74,74,8.7532,1
1634,910,"501 S L B J Dr, San Marcos, TX 78666, USA","414 S L B J Dr, San Marcos, TX 78666, USA",476,101,97,11.51142857,0.96039604
910,1634,"414 S L B J Dr, San Marcos, TX 78666, USA","501 S L B J Dr, San Marcos, TX 78666, USA",132,91,93,3.328085106,1.021978022
1661,911,"102 N LBJ Dr, San Marcos, TX 78666, USA","301 Comal St, San Marcos, TX 78666, USA",234,95,95,5.776875,1
911,1661,"301 Comal St, San Marcos, TX 78666, USA","102 N LBJ Dr, San Marcos, TX 78666, USA",234,91,90,6.094285714,0.989010989
1658,908,"123 S L B J Dr, San Marcos, TX 78666, USA","116 S L B J Dr, San Marcos, TX 78666, USA",31,5,7,9.18375,1.4
908,1658,"116 S L B J Dr, San Marcos, TX 78666, USA","123 S L B J Dr, San Marcos, TX 78666, USA",116,43,42,6.393488372,0.976744186
1282,909,"201 E Hutchison St, San Marcos, TX 78666, USA","247 N LBJ Dr, San Marcos, TX 78666, USA",65,26,27,5.501785714,1.038461538
909,1282,"247 N LBJ Dr, San Marcos, TX 78666, USA","201 E Hutchison St, San Marcos, TX 78666, USA",65,23,22,6.697826087,0.956521739
1669,919,"326 Cheatham St, San Marcos, TX 78666, USA","329 Cheatham St, San Marcos, TX 78666, USA",160,36,35,10.53333333,0.972222222
919,1669,"329 Cheatham St, San Marcos, TX 78666, USA","326 Cheatham St, San Marcos, TX 78666, USA",160,37,35,10.53333333,0.945945946
1671,911,"308 E Hopkins St, San Marcos, TX 78666, USA","301 Comal St, San Marcos, TX 78666, USA",324,68,70,10.81521127,1.029411765
911,1671,"301 Comal St, San Marcos, TX 78666, USA","308 E Hopkins St, San Marcos, TX 78666, USA",324,61,54,13.96145455,0.885245902
1660,911,"112 S CM Allen Pkwy, San Marcos, TX 78666, USA","301 Comal St, San Marcos, TX 78666, USA",493,101,110,10.52621622,1.089108911
911,1660,"301 Comal St, San Marcos, TX 78666, USA","112 S CM Allen Pkwy, San Marcos, TX 78666, USA",479,88,89,12.61366667,1.011363636
1674,708,"413 Riverside Dr, San Marcos, TX 78666, USA","1025 Field St, San Marcos, TX 78666, USA",622,100,108,13.52422018,1.08
708,1674,"1025 Field St, San Marcos, TX 78666, USA","413 Riverside Dr, San Marcos, TX 78666, USA",1296,142,186,16.42524064,1.309859155
1844,700,"614 N Guadalupe St, San Marcos, TX 78666, USA","202 Student Center Dr, San Marcos, TX 78666, USA",1918,286,346,13.09988473,1.20979021
700,1844,"202 Student Center Dr, San Marcos, TX 78666, USA","614 N Guadalupe St, San Marcos, TX 78666, USA",1138,275,293,9.173673469,1.065454545
1845,840,"748 N LBJ Dr, San Marcos, TX 78666, USA","1105 Chestnut St, San Marcos, TX 78666, USA",504,75,74,15.9264,0.986666667
840,1845,"1105 Chestnut St, San Marcos, TX 78666, USA","748 N LBJ Dr, San Marcos, TX 78666, USA",504,68,67,17.56588235,0.985294118
1847,716,"434 N Comanche St, San Marcos, TX 78666, USA","429 N Guadalupe St, San Marcos, TX 78666, USA",173,49,48,8.36755102,0.979591837
716,1847,"429 N Guadalupe St, San Marcos, TX 78666, USA","434 N Comanche St, San Marcos, TX 78666, USA",173,71,70,5.774788732,0.985915493
1863,907,"Harris Dining Hall, 700 Moore St, San Marcos, TX 78666, USA","901 Blanco St, San Marcos, TX 78666, USA",213,60,60,8.27557377,1
907,1863,"901 Blanco St, San Marcos, TX 78666, USA","Harris Dining Hall, 700 Moore St, San Marcos, TX 78666, USA",213,56,55,9.014464286,0.982142857
1276,717,"421 Lindsey St, San Marcos, TX 78666, USA","San Marcos Hall, 703 Llano Cir, San Marcos, TX 78666, USA",281,61,61,10.74145161,1
717,1276,"San Marcos Hall, 703 Llano Cir, San Marcos, TX 78666, USA","421 Lindsey St, San Marcos, TX 78666, USA",281,57,58,11.28762712,1.01754386
1864,717,"1000 Academy St, San Marcos, TX 78666, USA","San Marcos Hall, 703 Llano Cir, San Marcos, TX 78666, USA",274,47,47,13.52875,1
717,1864,"San Marcos Hall, 703 Llano Cir, San Marcos, TX 78666, USA","1000 Academy St, San Marcos, TX 78666, USA",274,49,44,14.43066667,0.897959184
1871,717,"303 Vista St, San Marcos, TX 78666, USA","San Marcos Hall, 703 Llano Cir, San Marcos, TX 78666, USA",880,116,130,15.92061069,1.120689655
